	column_name	effect_size	effect_size_square	effect_size_values	pval_corrected	pval
1	study_id	14.779652683217304	218.43813343653244	1674 vs. 1064	0.004132231404958678	3.7742577132121365e-64
1	host_scientific_name	8.944691721079103	80.00750998514104	Phyllospora comosa vs. Oryza sativa	0.004132231404958678	2.542446121573698e-208
1	empo_3	4.692188565878387	22.01663353775987	Plant surface vs. Sediment (non-saline)	0.004132231404958678	5.699098378763233e-253
1	envo_biome_3	4.277554809089446	18.29747514476425	subtropical shrubland biome vs. tropical shrubland biome	0.004132231404958678	9.858088581805957e-66
1	salinity_psu	1.0420844915634113	1.0859400875569736	3.0 vs. 1.0	0.004132231404958678	3.549901611335136e-19
1	ph	0.7780736314626217	0.6053985759774316	3.0 vs. 1.0	0.004132231404958678	1.864422414694125e-68
1	latitude_deg	0.6647149448894898	0.44184595795943743	0.0 vs. 2.0	0.004132231404958678	8.296090888264058e-135
1	temperature_deg_c	0.49846442840596733	0.24846678638608774	3.0 vs. 1.0	0.004132231404958678	2.2176051696068683e-56
1	nitrate_umol_per_l	0.4849593720237212	0.23518559251364202	3.0 vs. 0.0	0.004132231404958678	2.916673746051707e-18
1	longitude_deg	0.2074865650874411	0.04305067469178493	3.0 vs. 2.0	0.004132231404958678	3.084665763416315e-82
